algo_name,coefficients,depth,done,graph,init_bots,init_locations,priority_nodes,random_string,sim_length,time_periods,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
through_modified_basic,1 10 0 0,5,False,iitb,3,667357387 -266 -282,-266 4369058864 667357382 -282 667357387 667357409,through_modified_basic_iitb_107_d5_10,20000,247.29065729834738 247.29065729834738 247.29065729834738 247.29065729834738 247.29065729834738 247.29065729834738,True,195.3565558056181,123.65426356589148,219.25731988552693,1326.0,553.0,1326.0,2.244470280206728
through_modified_basic,1 10 0 0,3,False,cair,4,1563324349 1563324327 1563324011 1563324344,1563324327 cluster_1563324004_1563324334 1563324349 1563324344 1563324011,through_modified_basic_cair_20_d3_10,20000,43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174,True,79.80016838523765,54.522028955317154,89.52252970443784,642.0,279.0,642.0,1.919085698388852
through_modified_basic,1 10 0 0,0,False,grid_5_5,2,11 1,7 15 1 19 11,through_modified_basic_grid_5_5_42_d0_10,20000,60.0 60.0 60.0 60.0 60.0,True,155.4489875506225,112.11179441027949,166.28328583570823,1010.0,519.0,1010.0,1.600753549176874
through_modified_basic,1 10 0 0,3,False,iitb,4,3215340464 668685374 2055461156 -266,2055461156 668685374 3215340464 -266,through_modified_basic_iitb_64_d3_10,20000,196.79764709698915 196.79764709698915 196.79764709698915 196.79764709698915,True,162.44934791666668,141.416475,166.65592249999997,1602.0,673.0,1602.0,1.428963699516406
through_modified_basic,1 10 0 0,5,False,iitb,1,-266,-266 4369058864 667357382 -282 667357387 667357409,through_modified_basic_iitb_105_d5_10,20000,247.29065729834738 247.29065729834738 247.29065729834738 247.29065729834738 247.29065729834738 247.29065729834738,True,407.1869317518309,257.9487679962631,456.93298633702017,2739.0,912.0,2739.0,2.139365578471776
through_modified_basic,1 10 0 0,0,False,cair,4,1563324348 cluster_1563324004_1563324334 1563324327 1563324349,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,through_modified_basic_cair_60_d0_10,20000,39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936,True,81.08134682492053,47.66568313662732,97.78917866906716,779.0,324.0,779.0,2.265389948821818
through_modified_basic,1 10 0 0,5,False,cair,3,1154147726 1563324357 1154147727,1563324327 1154147726 1154147727 1563324357,through_modified_basic_cair_87_d5_10,20000,42.781199233777045 42.781199233777045 42.781199233777045 42.781199233777045,True,133.8710036720386,104.3403579821009,142.30833101202083,552.0,278.0,552.0,1.5307103621426068
through_modified_basic,1 10 0 0,3,False,grid_5_5,1,22,22 20 16 15 23 3,through_modified_basic_grid_5_5_9_d3_10,20000,60.0 60.0 60.0 60.0 60.0 60.0,True,274.047158,179.22849166666666,303.9898947368421,1928.0,649.0,1928.0,1.8445202763265864
through_modified_basic,1 10 0 0,5,False,cair,2,1563324344 1563324353,1563324353 1154147728 1563324344 1563324349 414035791 1563324336,through_modified_basic_cair_94_d5_10,20000,33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105,True,176.7147222222222,112.40821666666665,208.867975,1650.0,511.0,1650.0,1.9497386941698072
through_modified_basic,1 10 0 0,0,False,iitb,3,-282 668620103 667357415,667357415 -222 -282 668620103 667357419,through_modified_basic_iitb_67_d0_10,20000,243.85355312285273 243.85355312285273 243.85355312285273 243.85355312285273 243.85355312285273,True,194.5639572188057,126.21229938503076,212.5512355961149,2034.0,496.0,2034.0,2.0212240032499027
